,STATION_NAME,DATE,PRCP,SNWD,SNOW,Precip,dateCol
212,NEW YORK LAGUARDIA AIRPORT NY US,20140129,13,30,8,1,2014-01-29
213,NEW YORK LAGUARDIA AIRPORT NY US,20140130,0,0,0,0,2014-01-30
214,NEW YORK LAGUARDIA AIRPORT NY US,20140131,0,0,0,0,2014-01-31
215,NEW YORK LAGUARDIA AIRPORT NY US,20140201,0,0,0,0,2014-02-01
216,NEW YORK LAGUARDIA AIRPORT NY US,20140202,0,0,0,0,2014-02-02
217,NEW YORK LAGUARDIA AIRPORT NY US,20140203,274,30,196,1,2014-02-03
218,NEW YORK LAGUARDIA AIRPORT NY US,20140204,0,180,0,0,2014-02-04
219,NEW YORK LAGUARDIA AIRPORT NY US,20140205,300,200,84,1,2014-02-05
220,NEW YORK LAGUARDIA AIRPORT NY US,20140206,0,180,0,0,2014-02-06
221,NEW YORK LAGUARDIA AIRPORT NY US,20140207,0,150,0,0,2014-02-07
222,NEW YORK LAGUARDIA AIRPORT NY US,20140208,0,150,0,0,2014-02-08
223,NEW YORK LAGUARDIA AIRPORT NY US,20140209,25,150,30,1,2014-02-09
224,NEW YORK LAGUARDIA AIRPORT NY US,20140210,0,180,0,0,2014-02-10
225,NEW YORK LAGUARDIA AIRPORT NY US,20140211,0,180,0,0,2014-02-11
226,NEW YORK LAGUARDIA AIRPORT NY US,20140212,0,150,0,0,2014-02-12
227,NEW YORK LAGUARDIA AIRPORT NY US,20140213,427,230,196,1,2014-02-13
228,NEW YORK LAGUARDIA AIRPORT NY US,20140214,64,330,81,1,2014-02-14
229,NEW YORK LAGUARDIA AIRPORT NY US,20140215,25,230,76,1,2014-02-15
230,NEW YORK LAGUARDIA AIRPORT NY US,20140216,0,300,0,0,2014-02-16
231,NEW YORK LAGUARDIA AIRPORT NY US,20140217,0,280,0,0,2014-02-17
232,NEW YORK LAGUARDIA AIRPORT NY US,20140218,38,250,38,1,2014-02-18
233,NEW YORK LAGUARDIA AIRPORT NY US,20140219,64,250,0,1,2014-02-19
234,NEW YORK LAGUARDIA AIRPORT NY US,20140220,5,180,0,1,2014-02-20
235,NEW YORK LAGUARDIA AIRPORT NY US,20140221,28,130,0,1,2014-02-21
236,NEW YORK LAGUARDIA AIRPORT NY US,20140222,0,30,0,0,2014-02-22
